pub_year,author,english_title,translator,publisher,series,original_year,notes
1987,Michael Maier,Atalanta Fugiens: An Edition of the Fugues Emblems and Epigrams,Joscelyn Godwin,Magnum Opus Hermetic Sourceworks,Magnum Opus Hermetic Sourceworks #22,1617,First edition limited to 250 hand-numbered copies; translated from the Latin with introductory essay by Hildemarie Streich; includes cassette recording of all 50 fugues
1989,Michael Maier,Atalanta Fugiens: An Edition of the Fugues Emblems and Epigrams,Joscelyn Godwin,Phanes Press,Magnum Opus Hermetic Sourceworks #22,1617,Phanes Press trade edition with CD recording; includes all 50 emblems epigrams and discourses translated from Latin
1993,Various (Plato; Pliny; Boethius; Macrobius; Giorgi; Fludd; Kircher; Kepler; Mersenne et al.),The Harmony of the Spheres: A Sourcebook of the Pythagorean Tradition in Music,Joscelyn Godwin (ed. and trans.),Inner Traditions International,,various (5th c. BCE - 19th c.),Anthology of 52 texts; more than half translated into English for the first time from Latin French German and Italian; major Latin sources include Boethius Macrobius Francesco Giorgi Robert Fludd Athanasius Kircher and Johannes Kepler
1986,Various (Boethius; Kircher; Fludd; Ficino; et al.),"Music Mysticism and Magic: A Sourcebook",Joscelyn Godwin (ed. and trans.),Routledge & Kegan Paul,,various,Sourcebook with passages translated for the first time from Latin and other languages; includes excerpts from Boethius Kircher Fludd and other Latin authors; also published by Penguin Arkana
1991,Johann Valentin Andreae,Confessio Fraternitatis (in The Chemical Wedding of Christian Rosenkreutz),Joscelyn Godwin,Phanes Press,Magnum Opus Hermetic Sourceworks #18,1615,The Confessio was originally published in Latin in 1615; Godwin's translation appeared alongside the Chemical Wedding (which is from German not Latin); the Confessio translation was later revised for the 2016 Rosicrucian Trilogy
2016,Johann Valentin Andreae,Confessio Fraternitatis (in Rosicrucian Trilogy),Joscelyn Godwin,Weiser Books,,1615,Revised translation of the 1615 Latin Confessio Fraternitatis with new introduction by Godwin; limited hardcover edition of 500 copies also available; co-translators Christopher McIntosh and Donate Pahnke McIntosh handled the Fama (from German) and Godwin also translated the Chemical Wedding (from German)
1999,"Francesco Colonna",Hypnerotomachia Poliphili: The Strife of Love in a Dream,Joscelyn Godwin,Thames & Hudson,,1499,First complete English translation; original is in a macaronic Latinate Italian (heavily Latinized Italian hybrid language with Latin Greek and Hebrew inscriptions); hardcover edition
2005,"Francesco Colonna",Hypnerotomachia Poliphili: The Strife of Love in a Dream,Joscelyn Godwin,Thames & Hudson,,1499,Paperback reprint of 1999 translation; ISBN 9780500285497
1979,Robert Fludd,Robert Fludd: Hermetic Philosopher and Surveyor of Two Worlds,Joscelyn Godwin,Thames & Hudson,,1617-1621,Scholarly study with extensive translated passages from Fludd's Latin works (primarily Utriusque Cosmi Historia); not a standalone translation but contains substantial first-time English renderings of Fludd's Latin; also published by Shambhala and Phanes Press
2019,Robert Fludd,The Greater and Lesser Worlds of Robert Fludd: Macrocosm Microcosm and Medicine,Joscelyn Godwin,Inner Traditions,,1617-1621,Contains many passages translated for the first time from Fludd's Latin works; includes more than 200 of Fludd's illustrations with expert commentary; explores Utriusque Cosmi Historia and other Latin works; first published in Spanish by Ediciones Atalanta in 2018
1979,Athanasius Kircher,Athanasius Kircher: A Renaissance Man and the Quest for Lost Knowledge,Joscelyn Godwin,Thames & Hudson,,1650-1680,Scholarly study with translated excerpts from Kircher's Latin works including Musurgia Universalis Mundus Subterraneus and others; not a standalone translation but contains first English renderings of significant passages
2009,Athanasius Kircher,Athanasius Kircher's Theatre of the World,Joscelyn Godwin,Thames & Hudson / Inner Traditions,,1650-1680,Expanded treatment of Kircher with additional translated passages from Latin works; 410 illustrations; also published in French and Italian editions
